ID,Sex,Treatment Group,SVL,Mass_Initial,Mass1,Mass2,Mass3,Notes
2,F,A,72,45,39,42,34,
4,F,A,69,53,48,47,49,
6,F,A,67,42,47,49,36,
10,F,A,60,31,33,32,25,
20,F,A,66,34,41,43,26,
22,F,A,56,29,36,33,26,
24,F,A,62,28,29,37,30,
36,F,A,59,28,32,36,29,
38,F,A,58,25,28,33,25,
40,F,A,65,32,31,32,27,
52,F,A,59,27,34,34,32,
54,F,A,67,41,42,45,42,
56,F,A,74,49,51,55,34,
58,F,A,78,65,52,55,40,
68,F,A,73,50,49,50,40,
70,F,A,57,25,30,33,25,
12,F,B,59,28,32,33,24,
14,F,B,78,64,64,61,50,
16,F,B,70,50,55,55,44,
18,F,B,68,34,35,36,31,
28,F,B,73,38,49,47,NA,"male partner died, was removed from M22 and released"
32,F,B,72,48,43,44,38,
34,F,B,56,22,19,17,14,
44,F,B,60,24,24,25,NA,found dead on 6/24
46,F,B,58,25,25,22,22,
48,F,B,59,26,28,32,42,
50,F,B,63,27,27,28,24,
60,F,B,57,27,26,28,24,
62,F,B,67,34,38,39,31,
64,F,B,60,31,31,31,24,
66,F,B,71,40,42,42,34,
72,F,B,76,59,50,51,41,
74,F,B,54,24,26,28,21,
