ID,Sex,Treatment Group,SVL,Mass_Initial,Mass1,Mass2,Mass3,Notes
5,M,A,58,26,28,30,25,
7,M,A,55,27,24,26,25,
17,M,A,59,27,25,25,24,
19,M,A,62,26,29,29,NA,
21,M,A,59,35,34,34,30,
23,M,A,56,25,25,25,19,
49,M,A,57,27,29,27,24,
53,M,A,55,25,30,29,24,
55,M,A,57,28,25,27,23,
81,M,A,59,28,33,39,30,
85,M,A,63,36,28,29,29,
87,M,A,58,27,28,27,24,
99,M,A,60,28,27,29,23,
101,M,A,59,31,31,34,29,
103,M,A,53,26,22,25,21,
105,M,A,56,22,24,25,18,
9,M,B,58,26,29,30,26,
11,M,B,53,23,24,24,20,
13,M,B,55,27,29,28,NA,
15,M,B,60,28,30,29,26,
33,M,B,57,29,29,30,22,
39,M,B,57,25,26,28,21,
57,M,B,56,25,28,32,28,
59,M,B,54,20,19,21,18,
61,M,B,59,25,25,27,23,
63,M,B,65,36,34,42,30,
91,M,B,63,39,36,39,32,
95,M,B,63,30,33,32,27,
97,M,B,51,22,23,25,23,
115,M,B,57,24,23,25,22,
117,M,B,61,26,29,32,28,
119,M,B,59,31,29,29,23,
121,M,B,57,20,23,24,NA,female died 6/24 so removed from breeding tank
