TadpoleID,ClutchID,Treatment,D16_TotalLength,D16_TailLength,D16_BodyWidth,CORT_1,CORT_2,CORT_3,Data_Compete
AF1-1 Day16 TAD1,AF1,A,14.922,8.648,4.35,0.234,0.09,0.104,Yes
AF1-1 Day16 TAD2,AF1,A,14.775,8.603,4.708,0.13,0.218,0.292,Yes
AF1-1 Day16 TAD3,AF1,A,15.342,8.944,4.516,0.096,0.112,0.058,Yes
AF1-1 Day16 TAD4,AF1,A,19.922,11.937,6.09,0.392,0.104,0.658,Yes
AF1-1 Day16 TAD5,AF1,A,15.324,8.969,4.416,0.067,0.072,0.188,Yes
AF1-1 Day16 TAD6,AF1,A,17.259,9.81,5.315,0.072,0.05,0.096,Yes
AF1-2 Day16 TAD1,AF1,A,19.101,10.917,5.403,0.09,0.054,0.15,Yes
AF1-2 Day16 TAD2,AF1,A,20.523,12.098,5.954,0.054,0.043,0.067,Yes
AF1-2 Day16 TAD3,AF1,A,20.374,11.758,5.497,0.762,0.05,0.455,Yes
AF1-2 Day16 TAD4,AF1,A,17.709,9.925,5.27,0.14,0.083,0.339,Yes
AF1-2 Day16 TAD5,AF1,A,17.908,10.492,5.126,0.162,0.13,0.121,Yes
AF1-2 Day16 TAD6,AF1,A,17.8,10.004,4.971,0.162,0.067,0.292,Yes
AF2-1 Day16 TAD1,AF2,A,18.003,9.973,5.329,0.14,0.058,0.072,Yes
AF2-1 Day16 TAD2,AF2,A,16.698,9.487,5.095,0.13,0.078,0.121,Yes
AF2-1 Day16 TAD3,AF2,A,16.877,9.359,4.847,0.062,0.05,0.037,Yes
AF2-1 Day16 TAD4,AF2,A,16.854,9.442,5.177,0.067,0.04,0.078,Yes
AF2-1 Day16 TAD5,AF2,A,15.316,8.605,4.762,0.078,0.058,0.49,Yes
AF2-1 Day16 TAD6,AF2,A,17.046,9.542,5.126,0.062,0.034,0.062,Yes
AF2-2 Day16 TAD1,AF2,A,14.22,8.11,4.568,0.054,0.072,0.062,Yes
AF2-2 Day16 TAD2,AF2,A,17.39,9.802,5.392,0.058,0.054,0.043,Yes
AF2-2 Day16 TAD3,AF2,A,16.936,9.364,5.048,0.058,0.067,0.078,Yes
AF2-2 Day16 TAD4,AF2,A,18.171,9.989,5.41,0.104,0.058,0.112,Yes
AF2-2 Day16 TAD5,AF2,A,15.696,8.713,4.866,0.078,0.058,0.13,Yes
AF2-2 Day16 TAD6,AF2,A,16.921,9.368,4.977,0.054,0.062,0.062,Yes
AF3-1 Day16 TAD1,AF3,B,17.847,8.942,5.423,0.067,0.096,0.078,Yes
AF3-1 Day16 TAD2,AF3,B,19.232,10.634,5.704,0.072,0.067,0.096,Yes
AF3-1 Day16 TAD3,AF3,B,17.844,10.108,5.361,0.083,0.067,0.062,Yes
AF3-1 Day16 TAD4,AF3,B,20.119,11.328,5.891,0.096,0.078,0.174,Yes
AF3-1 Day16 TAD5,AF3,B,?,,,0.072,0.392,0.658,No
AF3-1 Day16 TAD6,AF3,B,?,,,0.09,0.09,0.09,No
